Measure,Pre-2009,2009-2013,2014-2016,Post-2016,Measure2,Agency,MortgageType,Date
NUMBER OF TRADES,0,8,*,*,<= $100MM,FNMA,AGENCY CMO IO/PO,03/12/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,FNMA,AGENCY CMO IO/PO,03/12/2019
AVERAGE PRICE,0,*,14.8,0,TOTAL,FHLMC,AGENCY CMO IO/PO,03/12/2019
WEIGHTED AVG. PRICE,0,*,17.2,0,TOTAL,FHLMC,AGENCY CMO IO/PO,03/12/2019
AVG. PRICE BOTTOM 5 TRADES,0,*,14.1,0,TOTAL,FHLMC,AGENCY CMO IO/PO,03/12/2019
2ND QUARTILE PRICE,0,*,17.5,0,TOTAL,FHLMC,AGENCY CMO IO/PO,03/12/2019
3RD QUARTILE PRICE,0,*,18.3,0,TOTAL,FHLMC,AGENCY CMO IO/PO,03/12/2019
4TH QUARTILE PRICE,0,*,18.3,0,TOTAL,FHLMC,AGENCY CMO IO/PO,03/12/2019
AVG. PRICE TOP 5 TRADES,0,*,17.4,0,TOTAL,FHLMC,AGENCY CMO IO/PO,03/12/2019
STANDARD DEVIATION,0,*,6.6,0,TOTAL,FHLMC,AGENCY CMO IO/PO,03/12/2019
VOLUME OF TRADES (000'S),0,*,115303,0,TOTAL,FHLMC,AGENCY CMO IO/PO,03/12/2019
VOLUME OF TRADES (000'S),0,*,*,0,CUSTOMER BUY,FHLMC,AGENCY CMO IO/PO,03/12/2019
VOLUME OF TRADES (000'S),0,*,*,0,CUSTOMER SELL,FHLMC,AGENCY CMO IO/PO,03/12/2019
VOLUME OF TRADES (000'S),0,0,0,0,DEALER TO DEALER,FHLMC,AGENCY CMO IO/PO,03/12/2019
VOLUME OF TRADES (000'S),0,*,0,0,<= $1MM,FHLMC,AGENCY CMO IO/PO,03/12/2019
VOLUME OF TRADES (000'S),0,*,*,0,<= $10MM,FHLMC,AGENCY CMO IO/PO,03/12/2019
VOLUME OF TRADES (000'S),0,0,111794,0,<= $100MM,FHLMC,AGENCY CMO IO/PO,03/12/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FHLMC,AGENCY CMO IO/PO,03/12/2019
NUMBER OF TRADES,0,*,6,0,TOTAL,FHLMC,AGENCY CMO IO/PO,03/12/2019
NUMBER OF TRADES,0,*,*,0,CUSTOMER BUY,FHLMC,AGENCY CMO IO/PO,03/12/2019
NUMBER OF TRADES,0,*,*,0,CUSTOMER SELL,FHLMC,AGENCY CMO IO/PO,03/12/2019
NUMBER OF TRADES,0,0,0,0,DEALER TO DEALER,FHLMC,AGENCY CMO IO/PO,03/12/2019
NUMBER OF TRADES,0,*,0,0,<= $1MM,FHLMC,AGENCY CMO IO/PO,03/12/2019
NUMBER OF TRADES,0,*,*,0,<= $10MM,FHLMC,AGENCY CMO IO/PO,03/12/2019
NUMBER OF TRADES,0,0,5,0,<= $100MM,FHLMC,AGENCY CMO IO/PO,03/12/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,FHLMC,AGENCY CMO IO/PO,03/12/2019
AVERAGE PRICE,0,11.2,18.2,*,TOTAL,GNMA,AGENCY CMO IO/PO,03/12/2019
WEIGHTED AVG. PRICE,0,19.1,13.1,*,TOTAL,GNMA,AGENCY CMO IO/PO,03/12/2019
AVG. PRICE BOTTOM 5 TRADES,0,6.6,10.5,*,TOTAL,GNMA,AGENCY CMO IO/PO,03/12/2019
2ND QUARTILE PRICE,0,8.3,12.9,*,TOTAL,GNMA,AGENCY CMO IO/PO,03/12/2019
3RD QUARTILE PRICE,0,16.9,13.1,*,TOTAL,GNMA,AGENCY CMO IO/PO,03/12/2019
4TH QUARTILE PRICE,0,17.7,18.8,*,TOTAL,GNMA,AGENCY CMO IO/PO,03/12/2019
AVG. PRICE TOP 5 TRADES,0,16.1,27.1,*,TOTAL,GNMA,AGENCY CMO IO/PO,03/12/2019
STANDARD DEVIATION,0,6.2,18.6,*,TOTAL,GNMA,AGENCY CMO IO/PO,03/12/2019
VOLUME OF TRADES (000'S),0,34367.3,223095.7,*,TOTAL,GNMA,AGENCY CMO IO/PO,03/12/2019
VOLUME OF TRADES (000'S),0,*,*,*,CUSTOMER BUY,GNMA,AGENCY CMO IO/PO,03/12/2019
VOLUME OF TRADES (000'S),0,33033.3,172813.2,*,CUSTOMER SELL,GNMA,AGENCY CMO IO/PO,03/12/2019
VOLUME OF TRADES (000'S),0,*,0,0,DEALER TO DEALER,GNMA,AGENCY CMO IO/PO,03/12/2019
VOLUME OF TRADES (000'S),0,2938.1,*,0,<= $1MM,GNMA,AGENCY CMO IO/PO,03/12/2019
VOLUME OF TRADES (000'S),0,*,*,0,<= $10MM,GNMA,AGENCY CMO IO/PO,03/12/2019
VOLUME OF TRADES (000'S),0,*,220033.1,*,<= $100MM,GNMA,AGENCY CMO IO/PO,03/12/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,GNMA,AGENCY CMO IO/PO,03/12/2019
NUMBER OF TRADES,0,10,11,*,TOTAL,GNMA,AGENCY CMO IO/PO,03/12/2019
NUMBER OF TRADES,0,*,*,*,CUSTOMER BUY,GNMA,AGENCY CMO IO/PO,03/12/2019
NUMBER OF TRADES,0,7,7,*,CUSTOMER SELL,GNMA,AGENCY CMO IO/PO,03/12/2019
NUMBER OF TRADES,0,*,0,0,DEALER TO DEALER,GNMA,AGENCY CMO IO/PO,03/12/2019
NUMBER OF TRADES,0,8,*,0,<= $1MM,GNMA,AGENCY CMO IO/PO,03/12/2019
NUMBER OF TRADES,0,*,*,0,<= $10MM,GNMA,AGENCY CMO IO/PO,03/12/2019
NUMBER OF TRADES,0,*,7,*,<= $100MM,GNMA,AGENCY CMO IO/PO,03/12/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,GNMA,AGENCY CMO IO/PO,03/12/2019
AVERAGE PRICE,101.8,93.2,92.2,97.2,TOTAL,FNMA,AGENCY CMO P&I,03/13/2019
WEIGHTED AVG. PRICE,105,98.2,99.3,99,TOTAL,FNMA,AGENCY CMO P&I,03/13/2019
AVG. PRICE BOTTOM 5 TRADES,92.4,76.5,80.9,79,TOTAL,FNMA,AGENCY CMO P&I,03/13/2019
2ND QUARTILE PRICE,98.2,88,84.9,98.9,TOTAL,FNMA,AGENCY CMO P&I,03/13/2019
3RD QUARTILE PRICE,100,96,95.3,99.5,TOTAL,FNMA,AGENCY CMO P&I,03/13/2019
4TH QUARTILE PRICE,106.9,99.9,99.3,100,TOTAL,FNMA,AGENCY CMO P&I,03/13/2019
AVG. PRICE TOP 5 TRADES,113.6,108,100.1,106.3,TOTAL,FNMA,AGENCY CMO P&I,03/13/2019
STANDARD DEVIATION,6.5,9.1,8.2,9,TOTAL,FNMA,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),14400.2,56128.7,22381,93219.2,TOTAL,FNMA,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),8417.4,34450.2,11372.3,52357.4,CUSTOMER BUY,FNMA,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),5077.4,16830.1,8681.7,26480,CUSTOMER SELL,FNMA,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),905.4,4848.5,2327.1,14381.8,DEALER TO DEALER,FNMA,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),4109.7,7916.5,2019.2,3927.2,<= $1MM,FNMA,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),*,27564.2,*,56156.2,<= $10MM,FNMA,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),0,*,0,*,<= $100MM,FNMA,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,65,94,20,33,TOTAL,FNMA,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,16,25,7,17,CUSTOMER BUY,FNMA,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,36,32,5,8,CUSTOMER SELL,FNMA,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,13,37,8,8,DEALER TO DEALER,FNMA,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,63,81,16,18,<= $1MM,FNMA,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,*,12,*,13,<= $10MM,FNMA,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,0,*,0,*,<= $100MM,FNMA,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,03/13/2019
AVERAGE PRICE,94.8,94.7,90.6,101.4,TOTAL,FHLMC,AGENCY CMO P&I,03/13/2019
WEIGHTED AVG. PRICE,108.6,89.7,102.5,101.4,TOTAL,FHLMC,AGENCY CMO P&I,03/13/2019
AVG. PRICE BOTTOM 5 TRADES,53.1,82.5,80,96,TOTAL,FHLMC,AGENCY CMO P&I,03/13/2019
2ND QUARTILE PRICE,96,90.2,81.2,99.8,TOTAL,FHLMC,AGENCY CMO P&I,03/13/2019
3RD QUARTILE PRICE,100,96.8,87.2,102,TOTAL,FHLMC,AGENCY CMO P&I,03/13/2019
4TH QUARTILE PRICE,103,99.9,101.4,103.9,TOTAL,FHLMC,AGENCY CMO P&I,03/13/2019
AVG. PRICE TOP 5 TRADES,112,103,103.6,104.6,TOTAL,FHLMC,AGENCY CMO P&I,03/13/2019
STANDARD DEVIATION,17.5,6.3,10.2,3.6,TOTAL,FHLMC,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),3478.8,19690.8,91144.8,256399.4,TOTAL,FHLMC,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),827.4,11183.1,42849.9,62314.4,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),1001.7,7883.8,32229,89444.8,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),1649.7,623.9,16065.9,104640.2,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),3478.8,1780.2,550.2,3771.8,<= $1MM,FHLMC,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),0,17910.6,23069.5,43303.8,<= $10MM,FHLMC,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),0,0,67525.2,209323.8,<= $100MM,FHLMC,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FHLMC,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,71,52,32,33,TOTAL,FHLMC,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,14,15,11,14,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,33,15,7,8,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,24,22,14,11,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,71,47,22,9,<= $1MM,FHLMC,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,0,5,5,13,<= $10MM,FHLMC,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,0,0,5,11,<= $100MM,FHLMC,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,FHLMC,AGENCY CMO P&I,03/13/2019
AVERAGE PRICE,102.9,95,94.7,96.9,TOTAL,GNMA,AGENCY CMO P&I,03/13/2019
WEIGHTED AVG. PRICE,105.7,101.3,102.1,99.2,TOTAL,GNMA,AGENCY CMO P&I,03/13/2019
AVG. PRICE BOTTOM 5 TRADES,93.3,81.2,87.8,86.2,TOTAL,GNMA,AGENCY CMO P&I,03/13/2019
2ND QUARTILE PRICE,100,89,91,95.6,TOTAL,GNMA,AGENCY CMO P&I,03/13/2019
3RD QUARTILE PRICE,103.5,96.3,97,98.8,TOTAL,GNMA,AGENCY CMO P&I,03/13/2019
4TH QUARTILE PRICE,106.3,99.8,99.1,100,TOTAL,GNMA,AGENCY CMO P&I,03/13/2019
AVG. PRICE TOP 5 TRADES,109,108.6,101.1,101.2,TOTAL,GNMA,AGENCY CMO P&I,03/13/2019
STANDARD DEVIATION,4.3,7.9,6.7,4.5,TOTAL,GNMA,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),1515.2,15835.8,19728.1,214883.8,TOTAL,GNMA,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),673.2,2736.1,3780.4,181857.2,CUSTOMER BUY,GNMA,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),173.6,5993.2,15902.1,24207.6,CUSTOMER SELL,GNMA,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),668.5,7106.5,45.7,8818.9,DEALER TO DEALER,GNMA,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),1515.2,7187.5,649.7,10775.3,<= $1MM,GNMA,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),0,*,*,14881.4,<= $10MM,GNMA,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),0,0,*,189227.1,<= $100MM,GNMA,AGENCY CMO P&I,03/13/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,GNMA,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,87,55,16,66,TOTAL,GNMA,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,27,17,5,32,CUSTOMER BUY,GNMA,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,27,14,6,10,CUSTOMER SELL,GNMA,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,33,24,5,24,DEALER TO DEALER,GNMA,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,87,52,11,52,<= $1MM,GNMA,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,0,*,*,7,<= $10MM,GNMA,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,0,0,*,7,<= $100MM,GNMA,AGENCY CMO P&I,03/13/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,GNMA,AGENCY CMO P&I,03/13/2019
AVERAGE PRICE,20.5,12.3,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,03/13/2019
WEIGHTED AVG. PRICE,17,10.7,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,03/13/2019
AVG. PRICE BOTTOM 5 TRADES,14.1,10.9,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,03/13/2019
2ND QUARTILE PRICE,14.8,12.5,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,03/13/2019
3RD QUARTILE PRICE,14.8,13,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,03/13/2019
4TH QUARTILE PRICE,15.3,17.3,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,03/13/2019
AVG. PRICE TOP 5 TRADES,47.1,13.9,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,03/13/2019
STANDARD DEVIATION,20.2,3.2,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),11244.3,44118.6,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),534.4,*,*,*,CUSTOMER BUY,FNMA,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),9198,30737.1,0,0,CUSTOMER SELL,FNMA,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),*,*,0,0,DEALER TO DEALER,FNMA,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),5166,*,*,0,<= $1MM,FNMA,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),*,*,0,0,<= $10MM,FNMA,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),0,*,0,*,<= $100MM,FNMA,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FNMA,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,26,7,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,6,*,*,*,CUSTOMER BUY,FNMA,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,18,5,0,0,CUSTOMER SELL,FNMA,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,*,*,0,0,DEALER TO DEALER,FNMA,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,24,*,*,0,<= $1MM,FNMA,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,*,*,0,0,<= $10MM,FNMA,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,0,*,0,*,<= $100MM,FNMA,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,FNMA,AGENCY CMO IO/PO,03/13/2019
AVERAGE PRICE,61.6,19.6,12.8,30.4,TOTAL,FHLMC,AGENCY CMO IO/PO,03/13/2019
WEIGHTED AVG. PRICE,21.7,12.6,15.1,15.6,TOTAL,FHLMC,AGENCY CMO IO/PO,03/13/2019
AVG. PRICE BOTTOM 5 TRADES,56.2,10,11.9,30.4,TOTAL,FHLMC,AGENCY CMO IO/PO,03/13/2019
2ND QUARTILE PRICE,86,10.1,14.6,*,TOTAL,FHLMC,AGENCY CMO IO/PO,03/13/2019
3RD QUARTILE PRICE,88.7,14.7,15.7,*,TOTAL,FHLMC,AGENCY CMO IO/PO,03/13/2019
4TH QUARTILE PRICE,89,15.9,16.8,*,TOTAL,FHLMC,AGENCY CMO IO/PO,03/13/2019
AVG. PRICE TOP 5 TRADES,73.4,25.2,15.2,30.4,TOTAL,FHLMC,AGENCY CMO IO/PO,03/13/2019
STANDARD DEVIATION,40.4,24.6,6.1,35,TOTAL,FHLMC,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),5662.4,90655.3,81983,40113.5,TOTAL,FHLMC,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),*,*,*,*,CUSTOMER BUY,FHLMC,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),*,*,*,*,CUSTOMER SELL,FHLMC,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),0,*,0,*,DEALER TO DEALER,FHLMC,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),580.4,*,0,*,<= $1MM,FHLMC,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),*,0,*,*,<= $10MM,FHLMC,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),0,88720.4,80256.3,*,<= $100MM,FHLMC,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FHLMC,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,6,9,6,5,TOTAL,FHLMC,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,*,*,*,*,CUSTOMER BUY,FHLMC,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,*,*,*,*,CUSTOMER SELL,FHLMC,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,0,*,0,*,DEALER TO DEALER,FHLMC,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,5,*,0,*,<= $1MM,FHLMC,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,*,0,*,*,<= $10MM,FHLMC,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,0,5,5,*,<= $100MM,FHLMC,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,FHLMC,AGENCY CMO IO/PO,03/13/2019
AVERAGE PRICE,76.2,6.3,12.3,15.6,TOTAL,GNMA,AGENCY CMO IO/PO,03/13/2019
WEIGHTED AVG. PRICE,65.2,12.8,12.9,14.5,TOTAL,GNMA,AGENCY CMO IO/PO,03/13/2019
AVG. PRICE BOTTOM 5 TRADES,40.3,3.5,8.3,14.6,TOTAL,GNMA,AGENCY CMO IO/PO,03/13/2019
2ND QUARTILE PRICE,83,3.6,9.2,15.5,TOTAL,GNMA,AGENCY CMO IO/PO,03/13/2019
3RD QUARTILE PRICE,83.4,3.8,13.3,16.1,TOTAL,GNMA,AGENCY CMO IO/PO,03/13/2019
4TH QUARTILE PRICE,83.4,15.3,16.7,17.1,TOTAL,GNMA,AGENCY CMO IO/PO,03/13/2019
AVG. PRICE TOP 5 TRADES,84.8,7.9,16,16.9,TOTAL,GNMA,AGENCY CMO IO/PO,03/13/2019
STANDARD DEVIATION,22.8,5.7,3.8,2.1,TOTAL,GNMA,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),10198.3,14673.5,142357.4,314047.2,TOTAL,GNMA,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),3011.7,*,*,250760.2,CUSTOMER BUY,GNMA,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),4006.7,*,*,*,CUSTOMER SELL,GNMA,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),3179.9,*,3583.8,0,DEALER TO DEALER,GNMA,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),3820.7,3824.5,3851.4,0,<= $1MM,GNMA,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),*,0,0,0,<= $10MM,GNMA,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),0,*,138506,314047.2,<= $100MM,GNMA,AGENCY CMO IO/PO,03/13/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,GNMA,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,27,9,13,9,TOTAL,GNMA,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,6,*,*,6,CUSTOMER BUY,GNMA,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,14,*,*,*,CUSTOMER SELL,GNMA,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,7,*,6,0,DEALER TO DEALER,GNMA,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,24,8,7,0,<= $1MM,GNMA,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,*,0,0,0,<= $10MM,GNMA,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,0,*,6,9,<= $100MM,GNMA,AGENCY CMO IO/PO,03/13/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,GNMA,AGENCY CMO IO/PO,03/13/2019
AVERAGE PRICE,100.9,94.7,97.2,98.4,TOTAL,FNMA,AGENCY CMO P&I,03/14/2019
WEIGHTED AVG. PRICE,102.4,94,100.6,100.4,TOTAL,FNMA,AGENCY CMO P&I,03/14/2019
AVG. PRICE BOTTOM 5 TRADES,88.6,82.7,86.5,86,TOTAL,FNMA,AGENCY CMO P&I,03/14/2019
2ND QUARTILE PRICE,98.5,88.3,98.3,99.4,TOTAL,FNMA,AGENCY CMO P&I,03/14/2019
3RD QUARTILE PRICE,100,97.3,100.2,99.8,TOTAL,FNMA,AGENCY CMO P&I,03/14/2019
4TH QUARTILE PRICE,104.3,99.8,100.4,99.9,TOTAL,FNMA,AGENCY CMO P&I,03/14/2019
AVG. PRICE TOP 5 TRADES,117,109.5,102.1,103.4,TOTAL,FNMA,AGENCY CMO P&I,03/14/2019
STANDARD DEVIATION,7,7.9,6.6,4.8,TOTAL,FNMA,AGENCY CMO P&I,03/14/2019
VOLUME OF TRADES (000'S),2184,120798.7,45805.7,279390.4,TOTAL,FNMA,AGENCY CMO P&I,03/14/2019
VOLUME OF TRADES (000'S),1295.4,67681.9,39948.3,171099.4,CUSTOMER BUY,FNMA,AGENCY CMO P&I,03/14/2019
VOLUME OF TRADES (000'S),752.6,41007.6,*,83041.3,CUSTOMER SELL,FNMA,AGENCY CMO P&I,03/14/2019
VOLUME OF TRADES (000'S),136,12109.2,5837.1,25249.7,DEALER TO DEALER,FNMA,AGENCY CMO P&I,03/14/2019
VOLUME OF TRADES (000'S),2184,8263.3,1894,4221.3,<= $1MM,FNMA,AGENCY CMO P&I,03/14/2019
VOLUME OF TRADES (000'S),0,50879.3,33470.5,57995.2,<= $10MM,FNMA,AGENCY CMO P&I,03/14/2019
VOLUME OF TRADES (000'S),0,*,*,217173.8,<= $100MM,FNMA,AGENCY CMO P&I,03/14/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,03/14/2019
NUMBER OF TRADES,93,106,26,81,TOTAL,FNMA,AGENCY CMO P&I,03/14/2019
NUMBER OF TRADES,34,39,19,39,CUSTOMER BUY,FNMA,AGENCY CMO P&I,03/14/2019
NUMBER OF TRADES,37,38,*,7,CUSTOMER SELL,FNMA,AGENCY CMO P&I,03/14/2019
NUMBER OF TRADES,22,29,5,35,DEALER TO DEALER,FNMA,AGENCY CMO P&I,03/14/2019
NUMBER OF TRADES,93,85,11,53,<= $1MM,FNMA,AGENCY CMO P&I,03/14/2019
NUMBER OF TRADES,0,18,14,20,<= $10MM,FNMA,AGENCY CMO P&I,03/14/2019
NUMBER OF TRADES,0,*,*,8,<= $100MM,FNMA,AGENCY CMO P&I,03/14/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,03/14/2019
AVERAGE PRICE,101.5,96.5,95.7,101.5,TOTAL,FHLMC,AGENCY CMO P&I,03/14/2019
WEIGHTED AVG. PRICE,105,99.4,99.9,102.9,TOTAL,FHLMC,AGENCY CMO P&I,03/14/2019
AVG. PRICE BOTTOM 5 TRADES,77.9,81.7,83.8,95.4,TOTAL,FHLMC,AGENCY CMO P&I,03/14/2019
2ND QUARTILE PRICE,99.3,92.9,90.6,101.3,TOTAL,FHLMC,AGENCY CMO P&I,03/14/2019
3RD QUARTILE PRICE,102.8,98.6,99.5,102.9,TOTAL,FHLMC,AGENCY CMO P&I,03/14/2019
4TH QUARTILE PRICE,106,100.4,100.4,103.5,TOTAL,FHLMC,AGENCY CMO P&I,03/14/2019
AVG. PRICE TOP 5 TRADES,111.9,107.7,102.9,104.3,TOTAL,FHLMC,AGENCY CMO P&I,03/14/2019
STANDARD DEVIATION,8.2,6.4,7.4,3.2,TOTAL,FHLMC,AGENCY CMO P&I,03/14/2019
VOLUME OF TRADES (000'S),12543.9,89071.2,79412.3,275470.2,TOTAL,FHLMC,AGENCY CMO P&I,03/14/2019
VOLUME OF TRADES (000'S),11151.5,46654.9,43630.3,44299.7,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,03/14/2019
VOLUME OF TRADES (000'S),516.1,34817.4,*,211719.1,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,03/14/2019
VOLUME OF TRADES (000'S),876.3,7598.9,12151.7,19451.4,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,03/14/2019
VOLUME OF TRADES (000'S),3199.2,9104.4,2381.4,4315.5,<= $1MM,FHLMC,AGENCY CMO P&I,03/14/2019
VOLUME OF TRADES (000'S),*,44670.1,59113.8,62415.8,<= $10MM,FHLMC,AGENCY CMO P&I,03/14/2019
VOLUME OF TRADES (000'S),0,*,*,208738.9,<= $100MM,FHLMC,AGENCY CMO P&I,03/14/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FHLMC,AGENCY CMO P&I,03/14/2019
NUMBER OF TRADES,94,116,40,44,TOTAL,FHLMC,AGENCY CMO P&I,03/14/2019
NUMBER OF TRADES,36,54,24,17,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,03/14/2019
