Measure,PRE-2009,2009-2013,2014-2016,POST-2016,Measure2,Agency,MortgageType,Date
AVERAGE PRICE,*,6.3,15.3,27.3,TOTAL,FHLMC,AGENCY CMO IO/PO,20190327
WEIGHTED AVG. PRICE,*,5.7,15.1,17.7,TOTAL,FHLMC,AGENCY CMO IO/PO,20190327
AVG. PRICE BOTTOM 5 TRADES,*,3.8,15.3,27.3,TOTAL,FHLMC,AGENCY CMO IO/PO,20190327
2ND QUARTILE PRICE,*,2.3,*,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190327
3RD QUARTILE PRICE,*,2.3,*,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190327
4TH QUARTILE PRICE,*,9.1,*,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190327
AVG. PRICE TOP 5 TRADES,*,14.1,15.3,27.3,TOTAL,FHLMC,AGENCY CMO IO/PO,20190327
STANDARD DEVIATION,*,5.8,0.4,31,TOTAL,FHLMC,AGENCY CMO IO/PO,20190327
VOLUME OF TRADES (000'S),*,12363.2,104932.5,113033.8,TOTAL,FHLMC,AGENCY CMO IO/PO,20190327
VOLUME OF TRADES (000'S),*,5737.1,*,89765.3,CUSTOMER BUY,FHLMC,AGENCY CMO IO/PO,20190327
VOLUME OF TRADES (000'S),*,6626,*,*,CUSTOMER SELL,FHLMC,AGENCY CMO IO/PO,20190327
VOLUME OF TRADES (000'S),*,0,0,0,DEALER TO DEALER,FHLMC,AGENCY CMO IO/PO,20190327
VOLUME OF TRADES (000'S),*,2040.7,*,*,<= $1MM,FHLMC,AGENCY CMO IO/PO,20190327
VOLUME OF TRADES (000'S),0,*,0,*,<= $10MM,FHLMC,AGENCY CMO IO/PO,20190327
VOLUME OF TRADES (000'S),0,0,*,*,<= $100MM,FHLMC,AGENCY CMO IO/PO,20190327
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FHLMC,AGENCY CMO IO/PO,20190327
NUMBER OF TRADES,*,20,5,6,TOTAL,FHLMC,AGENCY CMO IO/PO,20190327
NUMBER OF TRADES,*,5,*,5,CUSTOMER BUY,FHLMC,AGENCY CMO IO/PO,20190327
NUMBER OF TRADES,*,15,*,*,CUSTOMER SELL,FHLMC,AGENCY CMO IO/PO,20190327
NUMBER OF TRADES,*,0,0,0,DEALER TO DEALER,FHLMC,AGENCY CMO IO/PO,20190327
NUMBER OF TRADES,*,16,*,*,<= $1MM,FHLMC,AGENCY CMO IO/PO,20190327
NUMBER OF TRADES,0,*,0,*,<= $10MM,FHLMC,AGENCY CMO IO/PO,20190327
NUMBER OF TRADES,0,0,*,*,<= $100MM,FHLMC,AGENCY CMO IO/PO,20190327
NUMBER OF TRADES,0,0,0,0,> $100MM,FHLMC,AGENCY CMO IO/PO,20190327
AVERAGE PRICE,*,12.9,*,17.2,TOTAL,GNMA,AGENCY CMO IO/PO,20190327
WEIGHTED AVG. PRICE,*,14.4,*,16.2,TOTAL,GNMA,AGENCY CMO IO/PO,20190327
AVG. PRICE BOTTOM 5 TRADES,*,10.9,*,12.8,TOTAL,GNMA,AGENCY CMO IO/PO,20190327
2ND QUARTILE PRICE,*,12.5,*,14.7,TOTAL,GNMA,AGENCY CMO IO/PO,20190327
3RD QUARTILE PRICE,*,14.1,*,18.7,TOTAL,GNMA,AGENCY CMO IO/PO,20190327
4TH QUARTILE PRICE,*,14.9,*,26.8,TOTAL,GNMA,AGENCY CMO IO/PO,20190327
AVG. PRICE TOP 5 TRADES,*,14.8,*,21.6,TOTAL,GNMA,AGENCY CMO IO/PO,20190327
STANDARD DEVIATION,*,3,*,7.8,TOTAL,GNMA,AGENCY CMO IO/PO,20190327
VOLUME OF TRADES (000'S),*,100288.9,*,124088.6,TOTAL,GNMA,AGENCY CMO IO/PO,20190327
VOLUME OF TRADES (000'S),*,*,*,63697.1,CUSTOMER BUY,GNMA,AGENCY CMO IO/PO,20190327
VOLUME OF TRADES (000'S),*,63164.9,*,60391.5,CUSTOMER SELL,GNMA,AGENCY CMO IO/PO,20190327
VOLUME OF TRADES (000'S),0,*,0,0,DEALER TO DEALER,GNMA,AGENCY CMO IO/PO,20190327
VOLUME OF TRADES (000'S),*,1848.7,0,*,<= $1MM,GNMA,AGENCY CMO IO/PO,20190327
VOLUME OF TRADES (000'S),0,0,*,14529.3,<= $10MM,GNMA,AGENCY CMO IO/PO,20190327
VOLUME OF TRADES (000'S),0,98440.2,*,*,<= $100MM,GNMA,AGENCY CMO IO/PO,20190327
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,GNMA,AGENCY CMO IO/PO,20190327
NUMBER OF TRADES,*,13,*,11,TOTAL,GNMA,AGENCY CMO IO/PO,20190327
NUMBER OF TRADES,*,*,*,6,CUSTOMER BUY,GNMA,AGENCY CMO IO/PO,20190327
NUMBER OF TRADES,*,8,*,5,CUSTOMER SELL,GNMA,AGENCY CMO IO/PO,20190327
NUMBER OF TRADES,0,*,0,0,DEALER TO DEALER,GNMA,AGENCY CMO IO/PO,20190327
NUMBER OF TRADES,*,7,0,*,<= $1MM,GNMA,AGENCY CMO IO/PO,20190327
NUMBER OF TRADES,0,0,*,5,<= $10MM,GNMA,AGENCY CMO IO/PO,20190327
NUMBER OF TRADES,0,6,*,*,<= $100MM,GNMA,AGENCY CMO IO/PO,20190327
NUMBER OF TRADES,0,0,0,0,> $100MM,GNMA,AGENCY CMO IO/PO,20190327
AVERAGE PRICE,101,96.5,89.9,99.3,TOTAL,FNMA,AGENCY CMO P&I,20190328
WEIGHTED AVG. PRICE,98.7,98.6,98.2,100.1,TOTAL,FNMA,AGENCY CMO P&I,20190328
AVG. PRICE BOTTOM 5 TRADES,92.3,79.7,80.3,93.7,TOTAL,FNMA,AGENCY CMO P&I,20190328
2ND QUARTILE PRICE,98,92.3,83,99.5,TOTAL,FNMA,AGENCY CMO P&I,20190328
3RD QUARTILE PRICE,100,97.9,92.8,99.7,TOTAL,FNMA,AGENCY CMO P&I,20190328
4TH QUARTILE PRICE,104.8,100.5,97.8,100.3,TOTAL,FNMA,AGENCY CMO P&I,20190328
AVG. PRICE TOP 5 TRADES,109.6,108.6,99.9,103.6,TOTAL,FNMA,AGENCY CMO P&I,20190328
STANDARD DEVIATION,4.4,6.2,7.7,2.6,TOTAL,FNMA,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),1612.8,95257,3915,78932.3,TOTAL,FNMA,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),878.9,13306.9,1629.4,52484.8,CUSTOMER BUY,FNMA,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),531.4,58578.3,551.7,*,CUSTOMER SELL,FNMA,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),202.5,23371.8,1733.8,23557.7,DEALER TO DEALER,FNMA,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),1612.8,7814.6,1260.1,3136.3,<= $1MM,FNMA,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),0,34664.7,*,37675.3,<= $10MM,FNMA,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),0,*,0,*,<= $100MM,FNMA,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,20190328
NUMBER OF TRADES,101,144,43,54,TOTAL,FNMA,AGENCY CMO P&I,20190328
NUMBER OF TRADES,38,48,15,30,CUSTOMER BUY,FNMA,AGENCY CMO P&I,20190328
NUMBER OF TRADES,30,43,11,*,CUSTOMER SELL,FNMA,AGENCY CMO P&I,20190328
NUMBER OF TRADES,33,53,17,20,DEALER TO DEALER,FNMA,AGENCY CMO P&I,20190328
NUMBER OF TRADES,101,131,41,41,<= $1MM,FNMA,AGENCY CMO P&I,20190328
NUMBER OF TRADES,0,10,*,12,<= $10MM,FNMA,AGENCY CMO P&I,20190328
NUMBER OF TRADES,0,*,0,*,<= $100MM,FNMA,AGENCY CMO P&I,20190328
NUMBER OF TRADES,0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,20190328
AVERAGE PRICE,100.2,96.8,90.5,96.4,TOTAL,FHLMC,AGENCY CMO P&I,20190328
WEIGHTED AVG. PRICE,104.7,100,96.1,99.9,TOTAL,FHLMC,AGENCY CMO P&I,20190328
AVG. PRICE BOTTOM 5 TRADES,69.6,84.8,79.4,91.7,TOTAL,FHLMC,AGENCY CMO P&I,20190328
2ND QUARTILE PRICE,97.7,92.3,88.5,94.8,TOTAL,FHLMC,AGENCY CMO P&I,20190328
3RD QUARTILE PRICE,100,98,92.6,94.8,TOTAL,FHLMC,AGENCY CMO P&I,20190328
4TH QUARTILE PRICE,106,100.3,96.8,99.5,TOTAL,FHLMC,AGENCY CMO P&I,20190328
AVG. PRICE TOP 5 TRADES,117.8,107.5,99.2,104.6,TOTAL,FHLMC,AGENCY CMO P&I,20190328
STANDARD DEVIATION,11.1,5.6,7.5,3.4,TOTAL,FHLMC,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),4287.5,64950.8,21146.3,166924.8,TOTAL,FHLMC,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),2426.8,17814.9,8799.4,114157.3,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),1634.1,30802.9,1930.3,40473,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),226.6,16333,10416.7,12294.5,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),4287.5,19053.4,761.9,14676.9,<= $1MM,FHLMC,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),0,32292.9,20384.4,35262.1,<= $10MM,FHLMC,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),0,*,0,*,<= $100MM,FHLMC,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FHLMC,AGENCY CMO P&I,20190328
NUMBER OF TRADES,131,150,31,110,TOTAL,FHLMC,AGENCY CMO P&I,20190328
NUMBER OF TRADES,45,48,13,91,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,20190328
NUMBER OF TRADES,46,48,8,5,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,20190328
NUMBER OF TRADES,40,54,10,14,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,20190328
NUMBER OF TRADES,131,140,23,97,<= $1MM,FHLMC,AGENCY CMO P&I,20190328
NUMBER OF TRADES,0,9,8,10,<= $10MM,FHLMC,AGENCY CMO P&I,20190328
NUMBER OF TRADES,0,*,0,*,<= $100MM,FHLMC,AGENCY CMO P&I,20190328
NUMBER OF TRADES,0,0,0,0,> $100MM,FHLMC,AGENCY CMO P&I,20190328
AVERAGE PRICE,102.1,95.6,89.6,99.2,TOTAL,GNMA,AGENCY CMO P&I,20190328
WEIGHTED AVG. PRICE,102.5,95.8,96.1,100.6,TOTAL,GNMA,AGENCY CMO P&I,20190328
AVG. PRICE BOTTOM 5 TRADES,93.3,80.1,71.7,88.4,TOTAL,GNMA,AGENCY CMO P&I,20190328
2ND QUARTILE PRICE,99.6,90.2,85.3,98,TOTAL,GNMA,AGENCY CMO P&I,20190328
3RD QUARTILE PRICE,102,98.4,93.6,100,TOTAL,GNMA,AGENCY CMO P&I,20190328
4TH QUARTILE PRICE,105.5,100.3,96,100.5,TOTAL,GNMA,AGENCY CMO P&I,20190328
AVG. PRICE TOP 5 TRADES,110,107.3,98.3,106.5,TOTAL,GNMA,AGENCY CMO P&I,20190328
STANDARD DEVIATION,4.2,8.1,9.5,4.2,TOTAL,GNMA,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),1946.7,3578,5010.1,416577.3,TOTAL,GNMA,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),952,2060.5,2931.7,161526.7,CUSTOMER BUY,GNMA,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),525.2,900.1,536.7,91931.1,CUSTOMER SELL,GNMA,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),469.5,617.5,1541.7,163119.5,DEALER TO DEALER,GNMA,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),1946.7,3578,2497.2,7935,<= $1MM,GNMA,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),0,0,*,83938.8,<= $10MM,GNMA,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),0,0,0,324703.6,<= $100MM,GNMA,AGENCY CMO P&I,20190328
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,GNMA,AGENCY CMO P&I,20190328
NUMBER OF TRADES,111,68,49,91,TOTAL,GNMA,AGENCY CMO P&I,20190328
NUMBER OF TRADES,32,19,16,54,CUSTOMER BUY,GNMA,AGENCY CMO P&I,20190328
NUMBER OF TRADES,35,28,13,9,CUSTOMER SELL,GNMA,AGENCY CMO P&I,20190328
NUMBER OF TRADES,44,21,20,28,DEALER TO DEALER,GNMA,AGENCY CMO P&I,20190328
NUMBER OF TRADES,111,68,47,63,<= $1MM,GNMA,AGENCY CMO P&I,20190328
NUMBER OF TRADES,0,0,*,21,<= $10MM,GNMA,AGENCY CMO P&I,20190328
NUMBER OF TRADES,0,0,0,7,<= $100MM,GNMA,AGENCY CMO P&I,20190328
NUMBER OF TRADES,0,0,0,0,> $100MM,GNMA,AGENCY CMO P&I,20190328
AVERAGE PRICE,8.8,12.3,14.2,36.9,TOTAL,FNMA,AGENCY CMO IO/PO,20190328
WEIGHTED AVG. PRICE,14.2,15.2,17.9,14.7,TOTAL,FNMA,AGENCY CMO IO/PO,20190328
AVG. PRICE BOTTOM 5 TRADES,4.4,5.7,10.3,8.1,TOTAL,FNMA,AGENCY CMO IO/PO,20190328
2ND QUARTILE PRICE,2.1,5.9,10.1,8.6,TOTAL,FNMA,AGENCY CMO IO/PO,20190328
3RD QUARTILE PRICE,14.8,14.8,12.4,15.4,TOTAL,FNMA,AGENCY CMO IO/PO,20190328
4TH QUARTILE PRICE,15.6,14.8,18.9,92,TOTAL,FNMA,AGENCY CMO IO/PO,20190328
AVG. PRICE TOP 5 TRADES,13.1,25.2,18.8,51.4,TOTAL,FNMA,AGENCY CMO IO/PO,20190328
STANDARD DEVIATION,7.6,6.9,4.3,41.4,TOTAL,FNMA,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),2634.4,46328.5,71574.3,13896.6,TOTAL,FNMA,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),*,15136.6,*,*,CUSTOMER BUY,FNMA,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),*,20725.4,36276.8,*,CUSTOMER SELL,FNMA,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),*,10466.6,*,4160.7,DEALER TO DEALER,FNMA,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),1192.5,6772,3487.7,*,<= $1MM,FNMA,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),*,39556.6,*,13420.8,<= $10MM,FNMA,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),0,0,*,0,<= $100MM,FNMA,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FNMA,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,8,44,12,9,TOTAL,FNMA,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,*,7,*,*,CUSTOMER BUY,FNMA,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,*,29,7,*,CUSTOMER SELL,FNMA,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,*,8,*,5,DEALER TO DEALER,FNMA,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,7,32,5,*,<= $1MM,FNMA,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,*,12,*,6,<= $10MM,FNMA,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,0,0,*,0,<= $100MM,FNMA,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,0,0,0,0,> $100MM,FNMA,AGENCY CMO IO/PO,20190328
AVERAGE PRICE,8.9,12.5,6.9,8.5,TOTAL,FHLMC,AGENCY CMO IO/PO,20190328
WEIGHTED AVG. PRICE,12.3,14.4,6.7,8.5,TOTAL,FHLMC,AGENCY CMO IO/PO,20190328
AVG. PRICE BOTTOM 5 TRADES,6.7,9.2,6.9,8.5,TOTAL,FHLMC,AGENCY CMO IO/PO,20190328
2ND QUARTILE PRICE,2.3,10.3,*,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190328
3RD QUARTILE PRICE,13.2,13.2,*,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190328
4TH QUARTILE PRICE,16.4,16.5,*,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190328
AVG. PRICE TOP 5 TRADES,14.1,16.3,6.9,8.5,TOTAL,FHLMC,AGENCY CMO IO/PO,20190328
STANDARD DEVIATION,6.5,4,0.4,0.2,TOTAL,FHLMC,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),1693.8,164376.4,4353.2,5990.2,TOTAL,FHLMC,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),*,72740.9,*,1412.8,CUSTOMER BUY,FHLMC,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),874.1,90947.2,*,1525.8,CUSTOMER SELL,FHLMC,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),*,*,*,*,DEALER TO DEALER,FHLMC,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),1693.8,2769,*,2938.6,<= $1MM,FHLMC,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),0,*,*,*,<= $10MM,FHLMC,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),0,155609,0,0,<= $100MM,FHLMC,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FHLMC,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,9,12,7,18,TOTAL,FHLMC,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,*,5,*,9,CUSTOMER BUY,FHLMC,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,5,6,*,7,CUSTOMER SELL,FHLMC,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,*,*,*,*,DEALER TO DEALER,FHLMC,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,9,5,*,16,<= $1MM,FHLMC,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,0,*,*,*,<= $10MM,FHLMC,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,0,6,0,0,<= $100MM,FHLMC,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,0,0,0,0,> $100MM,FHLMC,AGENCY CMO IO/PO,20190328
AVERAGE PRICE,0,11.1,11.3,15.6,TOTAL,GNMA,AGENCY CMO IO/PO,20190328
WEIGHTED AVG. PRICE,0,10.4,12.3,17.9,TOTAL,GNMA,AGENCY CMO IO/PO,20190328
AVG. PRICE BOTTOM 5 TRADES,0,10,9.5,13.2,TOTAL,GNMA,AGENCY CMO IO/PO,20190328
2ND QUARTILE PRICE,0,8,9.8,13.3,TOTAL,GNMA,AGENCY CMO IO/PO,20190328
3RD QUARTILE PRICE,0,9,11,14.1,TOTAL,GNMA,AGENCY CMO IO/PO,20190328
4TH QUARTILE PRICE,0,15.1,15.5,20.1,TOTAL,GNMA,AGENCY CMO IO/PO,20190328
AVG. PRICE TOP 5 TRADES,0,13,13,17.6,TOTAL,GNMA,AGENCY CMO IO/PO,20190328
STANDARD DEVIATION,0,4.1,2.6,3.1,TOTAL,GNMA,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),0,105101.6,8740.4,189531.4,TOTAL,GNMA,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),0,*,0,*,CUSTOMER BUY,GNMA,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),0,63443.3,*,*,CUSTOMER SELL,GNMA,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),0,*,4964.6,44124,DEALER TO DEALER,GNMA,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),0,*,5359.6,0,<= $1MM,GNMA,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),0,0,*,15574.9,<= $10MM,GNMA,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),0,*,0,*,<= $100MM,GNMA,AGENCY CMO IO/PO,20190328
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,GNMA,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,0,8,10,13,TOTAL,GNMA,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,0,*,0,*,CUSTOMER BUY,GNMA,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,0,5,*,*,CUSTOMER SELL,GNMA,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,0,*,6,7,DEALER TO DEALER,GNMA,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,0,*,9,0,<= $1MM,GNMA,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,0,0,*,9,<= $10MM,GNMA,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,0,*,0,*,<= $100MM,GNMA,AGENCY CMO IO/PO,20190328
NUMBER OF TRADES,0,0,0,0,> $100MM,GNMA,AGENCY CMO IO/PO,20190328
AVERAGE PRICE,98.9,94.9,91.9,91.2,TOTAL,FNMA,AGENCY CMO P&I,20190329
WEIGHTED AVG. PRICE,101,97.7,100,100.1,TOTAL,FNMA,AGENCY CMO P&I,20190329
AVG. PRICE BOTTOM 5 TRADES,66.9,78.2,81.7,66.1,TOTAL,FNMA,AGENCY CMO P&I,20190329
2ND QUARTILE PRICE,97.9,90,85.2,97.8,TOTAL,FNMA,AGENCY CMO P&I,20190329
3RD QUARTILE PRICE,100,97.7,95,99.5,TOTAL,FNMA,AGENCY CMO P&I,20190329
4TH QUARTILE PRICE,103.6,99.8,98.5,100.6,TOTAL,FNMA,AGENCY CMO P&I,20190329
AVG. PRICE TOP 5 TRADES,118.2,104.3,100.5,101.5,TOTAL,FNMA,AGENCY CMO P&I,20190329
STANDARD DEVIATION,15.3,7.2,7.5,26.3,TOTAL,FNMA,AGENCY CMO P&I,20190329
VOLUME OF TRADES (000'S),5532.4,35340.4,2249.1,39822.1,TOTAL,FNMA,AGENCY CMO P&I,20190329
VOLUME OF TRADES (000'S),2839.2,30060.8,1201.5,22452.1,CUSTOMER BUY,FNMA,AGENCY CMO P&I,20190329
VOLUME OF TRADES (000'S),607.2,4201.5,241.4,15042.6,CUSTOMER SELL,FNMA,AGENCY CMO P&I,20190329
VOLUME OF TRADES (000'S),2086.1,1078.1,806.1,2327.4,DEALER TO DEALER,FNMA,AGENCY CMO P&I,20190329
VOLUME OF TRADES (000'S),1697.9,5016.4,2249.1,2104.2,<= $1MM,FNMA,AGENCY CMO P&I,20190329
VOLUME OF TRADES (000'S),*,*,0,22784.1,<= $10MM,FNMA,AGENCY CMO P&I,20190329
VOLUME OF TRADES (000'S),0,*,0,*,<= $100MM,FNMA,AGENCY CMO P&I,20190329
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,20190329
NUMBER OF TRADES,66,67,27,27,TOTAL,FNMA,AGENCY CMO P&I,20190329
NUMBER OF TRADES,16,28,9,16,CUSTOMER BUY,FNMA,AGENCY CMO P&I,20190329
NUMBER OF TRADES,34,20,7,5,CUSTOMER SELL,FNMA,AGENCY CMO P&I,20190329
NUMBER OF TRADES,16,19,11,6,DEALER TO DEALER,FNMA,AGENCY CMO P&I,20190329
NUMBER OF TRADES,64,63,27,21,<= $1MM,FNMA,AGENCY CMO P&I,20190329
NUMBER OF TRADES,*,*,0,5,<= $10MM,FNMA,AGENCY CMO P&I,20190329
NUMBER OF TRADES,0,*,0,*,<= $100MM,FNMA,AGENCY CMO P&I,20190329
NUMBER OF TRADES,0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,20190329
AVERAGE PRICE,102.5,94.5,90.1,94.7,TOTAL,FHLMC,AGENCY CMO P&I,20190329
WEIGHTED AVG. PRICE,111.7,99.4,100.3,102.4,TOTAL,FHLMC,AGENCY CMO P&I,20190329
AVG. PRICE BOTTOM 5 TRADES,68.5,76.5,68.2,54.9,TOTAL,FHLMC,AGENCY CMO P&I,20190329
2ND QUARTILE PRICE,99.8,86.7,86.5,100.4,TOTAL,FHLMC,AGENCY CMO P&I,20190329
3RD QUARTILE PRICE,104.3,95.6,97.4,102.7,TOTAL,FHLMC,AGENCY CMO P&I,20190329
4TH QUARTILE PRICE,111.9,101,100.4,104.8,TOTAL,FHLMC,AGENCY CMO P&I,20190329
AVG. PRICE TOP 5 TRADES,118.8,128.8,103,105.2,TOTAL,FHLMC,AGENCY CMO P&I,20190329
STANDARD DEVIATION,13.6,13.2,15.6,26.8,TOTAL,FHLMC,AGENCY CMO P&I,20190329
VOLUME OF TRADES (000'S),98562,8391.9,30211.2,49753.6,TOTAL,FHLMC,AGENCY CMO P&I,20190329
VOLUME OF TRADES (000'S),1464.6,4392.1,11157.4,39356,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,20190329
VOLUME OF TRADES (000'S),96397.5,2506.3,*,*,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,20190329
VOLUME OF TRADES (000'S),699.9,1493.5,18783.2,10090.8,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,20190329
VOLUME OF TRADES (000'S),2858.7,6020.1,2516.9,10290.3,<= $1MM,FHLMC,AGENCY CMO P&I,20190329
VOLUME OF TRADES (000'S),95703.3,*,*,15342,<= $10MM,FHLMC,AGENCY CMO P&I,20190329
VOLUME OF TRADES (000'S),0,0,0,*,<= $100MM,FHLMC,AGENCY CMO P&I,20190329
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FHLMC,AGENCY CMO P&I,20190329
NUMBER OF TRADES,114,86,24,41,TOTAL,FHLMC,AGENCY CMO P&I,20190329
NUMBER OF TRADES,20,28,14,26,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,20190329
NUMBER OF TRADES,58,27,*,*,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,20190329
NUMBER OF TRADES,36,31,7,13,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,20190329
NUMBER OF TRADES,92,84,21,34,<= $1MM,FHLMC,AGENCY CMO P&I,20190329
NUMBER OF TRADES,22,*,*,6,<= $10MM,FHLMC,AGENCY CMO P&I,20190329
NUMBER OF TRADES,0,0,0,*,<= $100MM,FHLMC,AGENCY CMO P&I,20190329
NUMBER OF TRADES,0,0,0,0,> $100MM,FHLMC,AGENCY CMO P&I,20190329
AVERAGE PRICE,104.4,95,90.3,98,TOTAL,GNMA,AGENCY CMO P&I,20190329
WEIGHTED AVG. PRICE,102.5,101,94.6,99.8,TOTAL,GNMA,AGENCY CMO P&I,20190329
AVG. PRICE BOTTOM 5 TRADES,97.5,78.8,79.6,81.1,TOTAL,GNMA,AGENCY CMO P&I,20190329
2ND QUARTILE PRICE,102.6,90,88.3,97.3,TOTAL,GNMA,AGENCY CMO P&I,20190329
3RD QUARTILE PRICE,104,98.5,91.2,99.7,TOTAL,GNMA,AGENCY CMO P&I,20190329
4TH QUARTILE PRICE,108.1,101.7,95,100,TOTAL,GNMA,AGENCY CMO P&I,20190329
AVG. PRICE TOP 5 TRADES,109.9,108.1,97.4,106.1,TOTAL,GNMA,AGENCY CMO P&I,20190329
STANDARD DEVIATION,3.8,8.9,6.6,5.3,TOTAL,GNMA,AGENCY CMO P&I,20190329
